app_id,review,label,text_len,manual_label,manual_label_backup,labeling_source
730,e만 누르면 1인분,1,10,1,,from_steam_recommendation
1172470,재밌어서 하게됐는데 점점 똥겜이 되어가고 있습니다,0,27,0,,from_steam_recommendation
1172470,EA서버 연결문제좀 고쳐주쇼 흑흑흑,0,19,0,,from_steam_recommendation
570,Дота какашка тупая кто в нее в 2022 играет вообще блин блинский??7?,0,67,0,,from_steam_recommendation
570,"겜이 참 잘 만들긴 했는데
한국인 유저 좉도 없어서 일단 외롭게 게임해야함
그리고 어느정도 겜 좀 하게 되면은 좉목하지 않는 이상
일본서버 돌리는 순간 양학당함 아무것도 못 하고 그냥 집에서 처박혀서 죽기만 함
그런 애들 머리통 깰라면 나도 양학팟을 꾸려야함 ㄷㄷ;
그냥 이 게임은 안 하는게 좋음",1,166,1,,from_steam_recommendation
730,so many cheat n doesn`t work VAC :(,0,35,0,,from_steam_recommendation
1172470,"잠깐 해보고 느낀점

1.ㅈ같은 캐릭터 외형
내가 포토샵으로 그린게 더 예쁠듯 
전설급 스킨도 걍 ㅈㄴ 못생김

2.바로앞에서 총알 5만대 박았는데 안뒤짐
스나랑 라플 들면 근접전 이기기 힘듦
라플총알 다써서 총알 가는데 상대는 총 바꿔들고 죽임

3.오버워치 캐릭터로 하는 배틀로얄
왜 이렇게한지 의문. 그냥 처음에 배그마냥 커스터마이징 한번하고 빤스차림으로 하는게 낫다고 생각함.
스킬은 인게임 들어가서 선택하거나 그러는게 더 재밌을것같음. 캐릭터도 ㅈ같이 생겼으니까

4.ㅈ같은 매크로 유저들
랭크전은 레벨 안돼서 모르겠는데 지금 내가 하고있는 일반게임은 매크로 유저가 3분의1임
배틀로얄이 제일심함 보통20-30 매크로임

5.솔로모드 없음
뉴비라 같이하는 유저들한테 피해주기 싫어서 혼자 연습하고 싶은데 솔로모드가 안됨.
근데 괜찮음 어차피 우리팀 나빼고 다 매크로임 ㅋ

장점:그래픽,최적화 좋음 그외 장점없음.",0,460,0,,from_steam_recommendation
570,한판이 너무 긴데 그 과정에서 하는 플레이는 매우 단조로움....왜 하지?,0,41,0,,from_steam_recommendation
730,More like Counter-Stress 2,0,26,0,,from_steam_recommendation
1599340,Best MMORPG ever,1,16,1,,from_steam_recommendation
570,오랜만에 복귀해서 한 판 하자마자 중국인들의 더러운 혀놀림에 정신을 못 차리겠다,0,44,0,,from_steam_recommendation
730,"캐주얼은 승작하는 봇들로 가득하고
매치는 핵쟁이로 가득하네",0,32,0,,from_steam_recommendation
582660,재미있을 것 같은데.. 거시기 하네,0,19,0,,from_steam_recommendation
570,당신이 당신의 돈을 지출 할 수있는 아주 좋은,1,25,1,,from_steam_recommendation
570,불멸이나 빨리 내라고,1,11,1,,from_steam_recommendation
730,개씨발좆엠창씨발개좆같은씨발게임좆같은씨발개좆씨발에미없는개엠창씨발엿같은좆빠는좆씨발개씨발애미없는애비없는엿같은게임하지마세요,0,64,0,,from_steam_recommendation
570,추천이라 하는 이유는 재밌어서이고 인생이 소중하다면 하지마세요.,1,35,1,,from_steam_recommendation
570,Only Auto chess,0,15,0,,from_steam_recommendation
